name,hq,data_filings,median_wage,naics,relevant_title,other_titles,score
JHFAIR INC,"Farmingdale, NY",2,76929,455219,Data Analyst,Data Scientist,25.0
JID Solutions Inc,"Austin, TX",2,85103,54151,Data Engineer And Analyst,Sap Financial Consultant,25.0
James Madison University,"Harrisonburg, VA",2,74500,611310,Systems And Bi Analyst,Data Management Specialist,25.0
"Japali Tech Solutions, LLC","Southlake, TX",2,86000,541511,Business Intelligence Analyst Ii,Business Intelligence Analyst,25.0
"Jazwares, LLC","Plantation, FL",2,74865,33993,Application Support Analyst Ii,Data Governance Analyst,25.0
Jindal Tubular USA LLC.,"Bay St. Louis, MS",2,67527,331210,Business And Market Intelligence Analyst,Business Intelligence Analyst,25.0
"Jinko Solar (U.S.) Industries, Inc.","Jacksonville, FL",2,58000,221114,Quality Assurance Analyst,Raw Material And Planning Analyst,25.0
Jins Tech Corporation,"Spring, TX",2,64324,541511,Software Quality Assurance Analyst And Tester,Level 1 It Support Specialist,25.0
John Bean Technologies Corporation,"Chicago, IL",2,81783,31199,Customer Care Senior Business Analyst,Customer Care System Upgrade Engineer Lead,25.0
KALVEN GROUP OF LIMITED LIABILITY COMPANY,"Dallas, TX",2,68000,541511,Data Analyst,Data Scientist,25.0
KATAMAN METALS,"St Louis, MO",2,62722,423510,Logistics Analyst Coordinator,International Logistics Analyst,25.0
"KBRA Analytics, LLC","New York, NY",2,85500,561450,Product Development Analyst,Senior Analyst,25.0
KENNESAW STATE UNIVERSITY,"Kennesaw, GA",2,77000,611310,Strategic Business Data Analyst,It Business Analyst Associate,25.0
KGK Jewelry USA LLC,"New York, NY",2,78450,423940,Business Development Analyst,Business Analyst,25.0
KJ Ingredients Inc.,"Edison, NJ",2,,424420,Operations Research Analyst,Operation Research Analyst,25.0
KJR Sofware Services Inc,"Irving, TX",2,87020,54199,Business Intelligence Analyst,Data Engineer,25.0
KLOUDVISIO INC.,"Charlotte, NC",2,,541519,Gcp Data Engineer,Sap Consultant,25.0
KMAR TECH SOLUTIONS INC,"Iowa City, IA",2,85000,541512,Data Analyst,Business Intelligence Analyst,25.0
KNITTECH INC,"Houston, TX",2,68640,541511,Data Analyst,Business Analyst,25.0
KVRA TECH INC.,"Piscataway, NJ",2,83500,541511,Data Analyst,Sas Programmer,25.0
Kadstech Inc.,"Mechanicsburg, PA",2,76463,541511,Sap Business Systems Analyst,Software Quality Analyst,25.0
Kanerika Inc,"Austin, TX",2,83957,54151,Data Science Engineer,Senior Data Science Engineer,25.0
Kanira Consulting Inc.,"Tampa, FL",2,90168,541310,Business Analyst,Data Analyst,25.0
Kansas Department of Commerce,"Topeka, KS",2,63999,921110,Business Systems Analyst,Research Analyst,25.0
Kanyas Thai Orchid LLC,"Stroudsburg, PA",2,66581,72251,Database Manager,Database Analyst,25.0
"Kemin Industries, Inc.","Des Moines, IA",2,82089,54171,"Worldwide Market Intelligence And Data Analyst, Ki",It Business Analyst 2,25.0
Kenyon College,"Gambier, OH",2,80251,611310,Business Intelligence Analyst,Erp Program Analyst,25.0
Kero Gaming Inc,"Doral, FL",2,72696,511210,Data Scientist,Lead Data Scientist,25.0
Khani Staffing Tech Corporation,"Agawam, MA",2,,541512,Computer Systems Analyst,Data Analyst,25.0
Kiswire Pine Bluff Inc.,"Pine Bluff, AR",2,55660,331110,Operation Research Analyst,Production Operations Analyst,25.0
KnowClick LLC,"Bryn Mawr, PA",2,78500,541910,Digital Analyst,Digital Analyst “ Predictive Specialist,25.0
"Korens USA, Inc","Alexander City, AL",2,48939,3363,Logistics Analyst,Operations Analyst,25.0
Kpler Inc.,"Houston, TX",2,88037,541910,Data Quality Analyst,Data Analyst,25.0
Krane Funds Advisors LLC,"New York, NY",2,75000,523940,Business Analyst,Database Engineer,25.0
Kuka Furniture Inc,"High Point, NC",2,43763,561990,Global Supply Chain Analyst,Marketing Research Analyst,25.0
LANSING MARKETING SERVICES CORPORATION,"Saint Louis, MO",2,44000,541810,Business Intelligence Analyst,Operations Research Analyst,25.0
LIGHTHOUSE CPT INC,"New York, NY",2,50000,611710,Business Intelligence Analyst,Business Intelliegence Analysts,25.0
LINKWELL SOLUTIONS INC,"Richardson, TX",2,86809,541511,Data Engineer,Business Analyst,25.0
"LIYU Optoelectronic USA, LLC","Fort Worth, TX",2,,339950,Market Research Analyst,Management Analyst,25.0
LORSHI SYSTEMS LLC,"Aldie, VA",2,87500,541511,Vulnerability Management Analyst,Business Intelligence Engineer,25.0
"LWH Enterprises, Inc.","Midland, MI",2,63030,518210,Bi Analyst,Scientific Research Analyst,25.0
LX PANTOS AMERICA INC,"Englewood Cliffs, NJ",2,75004,488510,Operations Research Analyst,Logistics Analyst,25.0
"Lake 5 Media, Inc.","New York, NY",2,62000,541613,Computer Data Support Analyst,Client Data Analyst,25.0
Law Office of Luke Bowman PC,"Brighton, MI",2,63000,541110,Marketing Analyst,Business Development Analyst,25.0
Leedarson America Inc.,"Smyrna, GA",2,70000,423690,Warehouse Manager,Data Analyst,25.0
Lifespan Corporation,"Providence, RI",2,86002,622110,Senior Quality And Safety Analyst,Data Coordinator,25.0
Likewize Corp.,"Southlake, TX",2,73000,517312,Supply Chain And Logistics Analyst,Commercial Manager,25.0
Liquidmetal Ventures Management LLC,"Cambridge, MA",2,,5259,Data Scientist,Operations Research Analyst,25.0
"Logic Information Systems, Inc.","Bloomington, MN",2,86694,541511,Associate Business Intelligence Analyst,Consultant,25.0
"Logic Soft, INC.","Dublin, OH",2,79227,541511,Quality Assurance Analyst (Qa Analyst),Data Analyst,25.0
"Logix Guru, LLC","Murrysville, PA",2,78000,5416,Etl Developer,Marketing Data Analyst,25.0
Luxcraft Home Design LLC,"Atlanta, GA",2,,541410,Database Administrator,Operations Research Analyst,25.0
M.S. Hall & Associates,"Syracuse, NY",2,69945,5614,Data Analyst,Senior Data Analyst,25.0
MAHARISHI International UNIVERSITY,"Fairfield, IA",2,54634,611310,Management Analyst,Data And Strategy Analyst,25.0
MCLAUGHLIN GORMLEY KING COMPANY,"Minneapolis, MN",2,90000,325320,Enterprise Application Analyst,Sales & Marketing Analyst,25.0
"MEDICAL TRANSPORTATION MANAGEMENT, INC.","Lake St. Louis, MO",2,86529,511210,Senior Business Analyst,Business Data Analyst,25.0
MEGASOFT LLC,"Columbia, SC",2,70137,541511,Data Scientist,Computer Systems Analyst,25.0
"MICHAELS STORES PROCUREMENT COMPANY, INC.","Irving, TX",2,85395,459120,Space Planning Analyst,Senior Pricing Analyst,25.0
"MIEBACH CONSULTING, INC.","Fishers, IN",2,69404,541614,Supply Chain Analyst,Analyst,25.0
MINTH NORTH AMERICA INC,"Wixom, MI",2,62254,336360,Data Engineer,Logistics Analyst,25.0
MONTANA WEST INC,"Dallas, TX",2,52000,4243,Business Intelligence Analyst,Digital Market Analyst,25.0
MR Business Corporation,"Irving, TX",2,80000,541512,Business Computer System Analyst,Business System Analyst,25.0
"MTS Logistics, Inc.","New York, NY",2,87302,483111,Import Logistics Analyst,Management Analyst,25.0
"Mack Trucks, Inc.","Greensboro, NC",2,75878,33611,Senior Workforce Project & Analytics Specialist,Analyst - Financial Systems,25.0
"Magna Electronics, Inc.","Auburn Hills, MI",2,81421,33632,Engineering Analyst,Project Engineering Coordinator,25.0
"Magnum Opus IT, Inc.","Atlanta, GA",2,85064,541519,Programmer Analyst,Sap Consultant,25.0
"Marble, Inc.","Lincoln, NE",2,85000,541512,Strategy & Business Analyst,Machine Learning Engineer,25.0
Martin Flyer Jewelry LLC,"New York, NY",2,79250,423940,Business Systems Analyst,Business Analyst,25.0
Marymount University,"Arlington, VA",2,66674,611310,Starfish Data And Strategic Analyst,Bilt Assessment And Accreditation Analyst,25.0
Mason's Meats Inc,"Austin, TX",2,,42447,Import And Export Analyst,Import/Export Analyst,25.0
"Mastech InfoTrellis, Inc.","Moon Township, PA",2,75109,541511,Senior Data Quality Engineer,Senior Data Engineer,25.0
Masterworks Administrative Services LLC,"New York, NY",2,83000,523940,Data Analyst,Junior Product Analyst,25.0
Mavirik Solutions LLC,"Tampa, FL",2,84489,541511,Bi Administrator,Principal Data Analyst,25.0
MaxDecisions LLC,"Richardson, TX",2,90136,541611,Operations Research Analyst Ii,Operations Research Analyst,25.0
Mediterranean Gourmet Harvest LLC,"Mclean, VA",2,62712,722310,Business Loigistics Analyst,Business Logistics Analyst,25.0
Megan Soft VA,"Dulles, VA",2,,541511,Software Quality Assurance Analyst And Tester,Quality Assurance Analyst,25.0
"MentorUS Global, LLC","Severna Park, MD",2,,541511,Sqa Analyst,System Administrator,25.0
"Meritor Heavy Vehicle Braking Systems (U.S.A.), LLC","Nashville, TN",2,80943,4231,Data Analyst,It Analyst,25.0
Mesons Technologies LLC,"Jacksonville, FL",2,87100,541511,Software Quality Assurance Analyst,"Senior Product Manager, Analytics",25.0
Millennium Softtech Inc,"Edison, NJ",2,75400,541511,Database Administrators,Data Analyst,25.0
Mindgate Solutions LLC,"Cumming, GA",2,85872,541511,Business Systems Analyst,Computer Systems Analyst,25.0
Multiedge Inc.,"Irving, TX",2,78020,541511,Data Engineer,Senior Data Scientist,25.0
Murata Electronics North America Inc.,"Smyrna, GA",2,89277,423690,Applications Analyst,Business Intelligence Analyst,25.0
My Life Registry LLC,"Fort Lee, NJ",2,73425,541519,Junior Database Analyst,Product Integration Analyst,25.0
MyEdMaster LLC,"Leesburg, VA",2,,611691,Market Analyst,Business Analyst,25.0
NCIF Management Inc.,"Chicago, IL",2,70314,52229,Impact Analyst,Data Analyst,25.0
NEW ERA CONSULTING SERVICES INC,"Farmington Hills, MI",2,,541511,Systems Analyst,Database/Bi Developer,25.0
NEWCOLD USA SERVICES LLC,"Chicago, IL",2,70190,4931,Solution Design & Data Insights Analyst,Business Development Associate,25.0
"NGC TRANSMISSION EQUIPMENT (AMERICA), INC.","Fort Worth, TX",2,72550,333611,Supply Chain Analyst,Sales Operations Specialist,25.0
NITYO INFOTECH CORPORATION,"Plainsboro, NJ",2,89710,541519,Computer System Analyst,Technology Lead-Big Data,25.0
"NLP Logix, LLC","Jacksonville, FL",2,84947,518210,Senior Data Engineer,Data Engineer,25.0
NSK PETROLEUM WHOLESALE INC,"Port Washington, NY",2,82250,424720,Business Analyst,It Consultant,25.0
"NUWAY SOLUTIONS, LLC.","North Brunswick, NJ",2,78000,541511,Data Analyst,Technical Business Analyst,25.0
"National Board of Osteopathic Medical Examiners, Inc.","Conshohocken, PA",2,70190,611710,Data Analyst,Senior Data Analyst,25.0
National Cyber-Forensics and Training Alliance Limited,"Pittsburgh, PA",2,82175,541690,Intelligence Analyst,Intelligence Analyst Ii,25.0
National Institute of Statistical Sciences,"Washington, DC",2,75608,54171,Research Associate Ii,Research Fellow I-Statistician,25.0
"National Vision, Inc.","Duluth, GA",2,83481,621320,Senior Business Analyst,Sr. Business Analyst,25.0
"Nationwide Auto Services, Inc.","Carrollton, TX",2,83200,811121,Data Analyst,"Data Analyst, Quality Management",25.0
Navusoft Inc.,"Houston, TX",2,80205,513210,Data Migration Specialist,Database Administrator,25.0
NeenOpal Inc.,"Newark, NJ",2,80850,541511,Data Analysts,Data Analyst,25.0
"Nelson\Nygaard Consulting Associates, Inc.","Chicago, IL",2,81806,541310,Data Analyst,Associate Data Scientist,25.0
New Era Supermarket Inc,"Columbus, GA",2,70000,445110,Market Research Analyst,Supply Chain Analyst,25.0
New Vine Holdings LLC,"O Fallon, MO",2,,456120,Business Data Analyst,Computer Systems Analyst,25.0
New World Market LLC,"Champaign, IL",2,67454,445110,Business Intelligence Analyst,Data Analyst,25.0
New York City Department of Housing Preservation and Development,"New York, NY",2,76500,236116,Senior Analyst,Analyst,25.0
Nimbus Labs LLC,"Cockeysville, MD",2,85000,541511,Data Scientist,Business Intelligence Analyst,25.0
Niyantra Inc,"Durham, NC",2,86049,541511,Edi Business Analyst,Systems Analyst Ii,25.0
North America Service Center for Chinese Students LLC,"New York, NY",2,87194,611710,Market Research Analyst,Data Analyst,25.0
North Hill Distro Inc,"Wood Dale, IL",2,,42494,Database Administrator,Data Analyst,25.0
Northern Natural Gas Company,"Omaha, NE",2,84500,486210,Data Engineer 1,Business Systems Analyst Ii,25.0
"Novaspect, Inc.","Schaumburg, IL",2,81908,541512,Business Analyst,Software Engineer,25.0
Novisys LLC,"Farmington, MI",2,84333,541511,Computer Systems Analyst,Database Developer,25.0
OIAE SYSTEMS LLC,"Orlando, FL",2,78750,541511,Data Analyst,Business Intelligence Analyst,25.0
OPTIMUS UNIT LLC,"Frisco, TX",2,88566,541511,Data Engineer,Crm Product Owner / Business Systems Analyst,25.0
OPTIS Consulting Inc,"New York, NY",2,89309,54161,Senior Analyst,Technical Consultant,25.0
OVH US LLC,"Reston, VA",2,80443,518210,Business Intelligence Analyst,Associate Systems Engineer,25.0
Oak Technologies Inc.,"Irving, TX",2,89586,541511,Database Administrator,Sap Consultant,25.0
Office of Management and Enterprise Services,"Oklahoma City, OK",2,65385,921190,Data Scientist,Data Analyst,25.0
OnPoint Insights LLC,"Qunicy, MA",2,82784,518210,Data Analyst/Scientist,Data Engineer,25.0
"Onyx Technology, LLC","Mission Hills, KS",2,82840,541512,Jr. Data Scientist,Data Scientist,25.0
"Overseas Operation Services, Inc.","North Richland Hills, TX",2,85467,541611,Business Intelligence Analyst,Management Analyst,25.0
"P&M Law Firm, LLC","Chicago, IL",2,77958,541110,Business Intelligence Developer,Operations Research Analyst,25.0
PBR GROUP LLC,"Chantilly, VA",2,81687,541511,Data Analyst,Functional Consultant,25.0
PBR Inc. dba SKAPS Industries,"Athens, GA",2,64064,325212,Senior Data Analyst,Senior Power Bi Developer,25.0
PHC Corporation of North America,"Wood Dale, IL",2,81877,32541,Senior Business Intelligence Analyst,Data Analyst,25.0
"PHI Service Company, An Exelon Company","Kennett Square, PA",2,74901,2211,Associate Data Scientist,Associate Engineer,25.0
"PIONEER GLOBAL, INC","Plano, TX",2,83307,541511,Data Engineer,Systems Analyst(Qa),25.0
PQE US Incorporated,"Rockville, MD",2,89000,54151,"Project Manager, Cqv/Csv And Data Integrity",Cqv Data Integrity Specialist Consultant,25.0
"PREMIER MEDICAL ASSOCIATES OF FLORIDA, LLC.","The Villages, FL",2,60000,621111,Pharmacy Business Analyst,Business Analyst,25.0
PREMIUM SOFTWARE LLC,"Farmington Hills, MI",2,63525,541512,Data Engineer,Software Developer,25.0
PSB Insights LLC,"Washington, DC",2,73750,541810,Senior Entertainment Research Analyst,Senior Analyst,25.0
Park University,"Parkville, MO",2,55359,611310,Military And Veteran Funding Analyst,Senior Institutional Research Analyst,25.0
"Pegasus Vertex, LLC","Houston, TX",2,66674,541511,Operations Research Analyst,Database Analyst,25.0
Phemia Education Consulting LLC,"East Boston, MA",2,,6117,Market Research Analyst,Management Analyst,25.0
Phoenix Tree Publishing Inc.,"Chicago, IL",2,62000,513130,Market Research Analyst,Data Scientist,25.0
"Pinwheel Solutions, Inc","Katy, TX",2,85529,541511,Sr. Business Analyst,Database  Administrator,25.0
"Piper Companies, LLC","Mclean, VA",2,,54151,Bi Developer,Bi Analyst Consumer Banking,25.0
Planet Soft LLC,"Frisco, TX",2,85000,54151,Data Engineer,Data/Software Engineer,25.0
Pomerol Partners LLC,"Chicago, IL",2,72500,518210,Business Intelligence Consultant,Consultant,25.0
Praesto Consulting Inc,"New York, NY",2,79196,541611,Business Intelligence Consultant,Consultant,25.0
Praitech Inc,"Austin, TX",2,76190,541511,Operations Research Analysts,Operation Research Analyst,25.0
Premier Custom Homes LLC,"Jacksonville, FL",2,74000,236118,Construction Operations Analyst,Operations Analyst,25.0
Premium Guard Inc.,"New York, NY",2,74922,336390,Business Intelligence Analyst,Operations Research Analyst,25.0
"Premium Technology, Inc.","Jersey City, NJ",2,82596,541511,Business Analyst,Business / Market Analyst,25.0
Priamba Soft LLC,"Iselin, NJ",2,,541511,Data Scientist,Systems Engineer,25.0
"Prime Bids, LLC","Pasadena, TX",2,73500,541511,Software Developer - Ai Engineer,Ai Analyst,25.0
Primisoft LLC,"Livingston, NJ",2,65416,541511,Database Administrator,Site Reliability Engineer,25.0
"Princeps Technologies, Inc.","Durham, NC",2,82160,511210,Sr. Statistical Programmer,Sr. Sas Programmer,25.0
"Princeton Global Syntheses, Inc.","Sayreville, NJ",2,,541714,Database Architects,Date Analyst,25.0
"Priority Health Managed Benefits, Inc.","Grand Rapids, MI",2,78946,524114,Business Intelligence Analyst,Data Engineer,25.0
"Procom Services America, Inc.","Raleigh, NC",2,,561311,Digital Software Engineer Lead Analyst,Logistics Project Analyst,25.0
"Project Well, Inc.","Stamford, CT",2,88653,624190,Data Scientist,Project Management Clinical Analyst (Sr Mgr Tech Prog O&C),25.0
"Proper Consulting Group, LLC","Chicago, IL",2,75000,541611,Database Architect,Software Engineer,25.0
"Protobrand Sciences, Inc.","Boston, MA",2,55000,541910,Data Analyst (00063978),Data Analyst [00083995],25.0
Purview Infotech LLC,"Farmers Branch, TX",2,89045,541511,Programmer Analyst,Sas Clinical Data Analyst,25.0
"QUALITY WHOLESALE STL, LLC","Houston, TX",2,72000,42494,Program Analyst,Business Analyst,25.0
QUICKTRON AUTOMATION USA INC,"Grapevine, TX",2,67000,541511,Operations Research Analyst,Information Technology Warehouse Automation Project Manager,25.0
Qen Labs Inc.,"Eden Prairie, MN",2,,541511,Ai Systems Scientist,Senior Ai Scientist,25.0
"Quanta Manufacturing Nashville, LLC","La Vergne, TN",2,78395,334112,Material Control Analyst-Warehouse Operations,Systems Analyst,25.0
"R CUBE CREATIVE CONSULTING, INC.","Jonestown, TX",2,75504,541511,Data Scientist,Database Administrator,25.0
R2Gate America Inc.,"Fair Lawn, NJ",2,60174,423450,Market Research Analyst,Logistics Market Analyst,25.0
"RAGAN CONSULTING SOLUTIONS, LLC","Exton, PA",2,84229,541511,Business Systems Analyst,Software Quality Assurance Analyst,25.0
"RDS AUTOMATION, INC.","Fogelsville, PA",2,80000,541511,Data Analyst,Business Analyst,25.0
REAL SOURCE IT SOLUTIONS LLC,"Frisco, TX",2,75528,541511,Data Scientist,Data Engineer,25.0
"REON Technology, Inc.","Chelmsford, MA",2,82100,33591,Data Science Associate,Business Development And Marketing Strategy Analyst,25.0
REPAVE IT LLC,"Worthington, OH",2,78250,541511,Analyst,Systems Analyst,25.0
RESOURCE INNOVATIVE TECHNOLOGIES LLC,"Rock Hill, SC",2,80860,541512,Business Intelligence Analyst,Data Scientist,25.0
RM Creations,"South Plainfield, NJ",2,72500,423510,Operations Research Analyst,Management Analyst,25.0
"ROLLING FRITO-LAY SALES, LP","Purchase, NY",2,89150,311919,Sc Plng Sr Analyst,Sc Assoc Manager,25.0
RPD Development LLC,"Chamblee, GA",2,,722511,Supply Chain Analyst,Management Analyst,25.0
RS DRAGON TECHNOLOGIES LLC,"Dallas, TX",2,80781,541511,Business Analyst,Data Engineer /Analyst,25.0
"Radiant Way Technology, Inc.","Bartlett, IL",2,76461,541512,Senior System Analyst “ Sap Ewm,Lead Business Analyst,25.0
"Reason Research, LLC","Philadelphia, PA",2,64850,541910,Associate Research Analyst,Research Analyst,25.0
Research Foundation for the State University of New York - Albany,"Albany, NY",2,66829,5417,Data Analyst For Research Administration,Postdoctoral Associate,25.0
"Resource InfoSoft, Inc.","Sioux Falls, SD",2,77969,541511,Data Engineer,Sr. Murex Systems Analyst,25.0
Resourcesoft Inc,"Marlborough, MA",2,,54151,Qa Analyst,Data Analyst,25.0
"Restaurant Equipment Market, LLC","Stone Mountain, GA",2,84601,423440,Business Analyst,Business Intelligence Analyst,25.0
"Restore Rehab Services, LLC","Houston, TX",2,52500,621610,Data Manager,Data Scientist,25.0
"Retail Insight U.S., Inc.","Bentonville, AR",2,73297,518210,Insight Analyst Ii,Insight Analyst I,25.0
RiseIT Solutions Inc.,"Addison, TX",2,85813,54151,Computer Systems Analyst,Business  Analyst,25.0
"Rocktop Technologies, LLC","Irving, TX",2,82500,523920,Business Analyst,Data Analyst,25.0
"Ruvati USA, Inc.","Round Rock, TX",2,60559,327110,Market Research Analyst,Operation Analyst,25.0
"S & B Hardware, Inc.","Miami, FL",2,73000,423390,Organizational Development And Management Analyst,Data Analyst,25.0
S & S Brokerage Inc,"Iselin, NJ",2,,484121,Service Delivery & Management Analyst,Operations Analyst,25.0
"S&B INDUSTRY, INC.","Fort Worth, TX",2,58812,811211,Failure Analyst,Ecommerce Specialist,25.0
SAINT FRANCIS HEALTH SYSTEM,"Tulsa, OK",2,87713,622110,Workday Business Analyst,Data Scientist,25.0
"SAKS Technologies, Inc.","Oak Brook, IL",2,59103,541511,Business Analyst,Software Developer,25.0
SALDERZ INC,"Eagle Bridge, NY",2,76263,541511,Business Analyst,Senior Business Analyst,25.0
SAM HIRES LLC,"Alpharetta, GA",2,,541511,Data Engineer,Etl Developer,25.0
SHRPTECH LLC,"Cumming, GA",2,76750,541511,Business Intelligence,Data Engineer,25.0
SLM Nitrocollege LLC,"Newark, DE",2,70242,522291,"Senior Associate, Digital Analytics","Senior Associate, Data Analytics",25.0
SLV TECHNOLOGIES INC.,"Alpharetta, GA",2,73393,541511,Qa Analyst,Business Analyst,25.0
SMAC APPS LLC.,"Princeton, NJ",2,86000,541511,Database Administrator,Sap Functional Consultant,25.0
SMART SUPPLY CHAIN CHICAGO INC,"Bolingbrook, IL",2,59519,488510,Logistics Project Analyst,Warehouse Technology Analyst,25.0
"SMG Global Circuits, Inc.","Washington, PA",2,66500,334418,Market Research Analyst,Software Quality Assurance Analyst And Tester,25.0
SOARSWELL SOLUTIONS LLC.,"Katy, TX",2,,541519,Oracle Database Administrator,Aem Qa Analyst,25.0
SOL IT SYSTEMS INC,"Irving, TX",2,81047,541511,Business Analyst,Ai/Ml Engineer,25.0
SOUTHERN HEALTHCARE SERVICES LLC,"Houston, TX",2,58000,54138,Data Analyst,Database Administrator,25.0
SOUTHWEST BUSINESS CORPORATION,"San Antonio, TX",2,83756,524210,Associate Etl Developer,Data Scientist,25.0
SPH Bridgeport LLC,"Bridgeport, CT",2,,62121,Health Informatics Specialist,Jr. Health Informatics Specialist,25.0
SPLINT PHARMA LLC,"New York, NY",2,,5416,Qa Analyst,Clinical Informatics Systems Analyst,25.0
SSN GROUP LLC,"Fairfax, VA",2,87256,541511,Data Analyst,Software Quality Engineer,25.0
"STANDARD MOTOR PRODUCTS, INC.","Long Island City, NY",2,69172,33639,Data Analyst,Data Content Analyst,25.0
"STERLING ENGINEERING, INC.","Westchester, IL",2,85696,541330,Business Operations Research Analyst,Operational Excellence Data Analyst,25.0
SUNAR TECH SOLUTIONS INC,"Round Rock, TX",2,87079,541511,Data Engineer,Cloud Data Engineer,25.0
"SV Tech, Inc.","Lake Villa, IL",2,73817,541511,Computer Systems Analyst,Data Analyst & Coupa Consultant,25.0
"SYSSOL, INC.","Piscataway, NJ",2,80000,541511,Qa Analyst,Database Administrator,25.0
SageArk LLC,"Chicago, IL",2,71500,6114,Sr. Strategy Analyst,Strategy & Policy Consultant/Analyst,25.0
Saipro Systems LLC,"Carmel, IN",2,,541511,Business Intelligence Specialist,Data Scientist,25.0
Sanhua International Inc.,"Houston, TX",2,81709,33291,Database Administrator,Operation Research Analyst,25.0
Sansutek Inc,"Carrollton, TX",2,82056,541512,Data Engineer,Qa Analyst,25.0
Sapear Inc.,"Houston, TX",2,75545,541511,Business Intelligence Engineer,Sap Basis Admin,25.0
Sargent & Lundy LLC,"Chicago, IL",2,85615,541611,Business Intelligence Developer,It Professional 2 - Analyst Engineer,25.0
"Satelytics, Inc.","Perrysburg, OH",2,70000,541360,Spatial Data Scientist,Ai Engineer,25.0
"Seakeeper, Inc.","California, MD",2,81840,541330,Data Engineer,Business Intelligence Analyst,25.0
"Seceon, Inc.","Westford, MA",2,71980,541519,Data Analyst,Data Scientist,25.0
Sepals Corporation,"Danbury, CT",2,89225,541519,Management Analyst,Oracle Dba,25.0
Server Management Services LLC,"Irving, TX",2,,541511,Data Engineer,Systems Engineer,25.0
Service Federal Credit Union,"Portsmouth, NH",2,89782,5211,Data Analyst I,Senior Data Analyst I,25.0
Sherriva Corporation,"Westmont, IL",2,72000,44921,Marketing Data Analyst,Marketing Data Anylyst,25.0
Sid Tool Company Inc.,"Melville, NY",2,80684,423840,Sr. Decision Science & Analytics Analyst,Supply Chain Analyst,25.0
Silver Bay Consulting LLC,"Houston, TX",2,55567,541512,Data Analyst,Qa Analyst,25.0
Silverside Advisory LLC,"Jersey City, NJ",2,85250,52394,Data And Business Intelligence Analyst,Data Analyst,25.0
Site IQ LLC,"Lombard, IL",2,75000,518210,Database Adminstrators,Data Engineer,25.0
Skyler Info Systems Inc,"Oklahoma City, OK",2,77666,541511,Database Engineer,Database Administrator,25.0
Skyline International Express LLC,"New York, NY",2,,488999,Operations Research Analyst,Market Research Analyst,25.0
Smart Choice Properties LLC,"New York, NY",2,,531210,Market Research Analyst,Data Analyst,25.0
"Smiley Dental Care, PLLC","Roslindale, MA",2,70500,621210,Health Informatics Specialist,Clinical Data Manager,25.0
Snap-on Tools Company LLC,"Kenosha, WI",2,84504,332216,Senior Transportation Analyst – Domestic/Ltl,Business Systems Analyst I,25.0
Soft Nut Inc,"Duluth, GA",2,,541511,Software Data Engineer,Data Engineer,25.0
Softntek Inc.,"Irving, TX",2,62171,54169,Application Systems Analyst,Computer Systems Analyst,25.0
Softsages LLC,"Malvern, PA",2,69500,541511,Systems Analyst,Data Analyst,25.0
"Software Solutions Desk, Inc.","Houston, TX",2,75535,541511,Business Intelligence Analyst,Computer Systems Analyst,25.0
South Bend Community School Corporation,"South Bend, IN",2,68733,611110,Research Analyst,Senior Project Manager,25.0
"Southeast Toyota Distributors, LLC","Deerfield Beach, FL",2,76130,423110,Sales Operations Analyst,"Southeast Toyota Distributors, Llc",25.0
Southern Hospitality Services LLC,"Flowood, MS",2,67500,721110,Market Research Analyst,Management Analyst,25.0
"Spark IT Technologies, LLC","Rock Hill, SC",2,77158,541511,Business Analyst,Tableau Visualization Engineer,25.0
St Anthonys Rehabilitation and Nursing Center LLC,"Rock Island, IL",2,79500,623311,"Medical Records, Hipaa Security, And Data Security Officer",Health Operations Manager And Administrator,25.0
St. Mary's Healthcare,"Amsterdam, NY",2,80250,622110,Senior Business Analyst,Clinical Informaticist And Educator,25.0
Staffor Consulting LLC,"Mckinney, TX",2,,561311,Software Quality Analyst,Senior Programmer Analyst,25.0
Stanford New York LLC,"New York, NY",2,71791,721110,Management Analyst,Operations Analyst,25.0
State University of New York at Cobleskill,"Cobleskill, NY",2,56900,611310,Business Analyst,Lead Business Analyst,25.0
State University of New York at Oneonta,"Oneonta, NY",2,67575,611310,Data Analyst,Senior Programmer/Analyst,25.0
Stony Brook University Hospital,"Stony Brook, NY",2,80697,622110,Revenue Cycle Analyst,Quality Analyst/Programmer,25.0
"Straumann USA, LLC","Andover, MA",2,76273,42345,Pricing Analyst,Data Analyst Ii,25.0
StreamLink Software Inc,"Cleveland, OH",2,83000,511210,Software Quality Assurance Analyst Ii,Business Analyst,25.0
Studentslanding Inc.,"Woburn, MA",2,81682,53139,Sales Data Analyst,Computer Systems Analysts,25.0
Sukup Manufacturing Co.,"Sheffield, IA",2,83855,333111,Data Analyst,Project Portfolio Manager,25.0
"SunTech Solutions, LLC","Alphareta, GA",2,89877,541511,Cloud Data Engineer,Information Technology Analyst,25.0
Sunshine International Corp,"Memphis, TN",2,80000,423810,Supply Chain Analyst,Sr. Business Analyst,25.0
Super Donuts Of Oxford LLC,"Paramus, NJ",2,75500,722513,Database Administrator,Computer Systems Analyst,25.0
"Sutong Tire Resources, Inc.","Hockley, TX",2,45458,42313,Market Analyst,Market Research Analyst,25.0
Svan IT Solutions Inc,"Houston, TX",2,60420,541511,Market Reserch Analyst,Market Research Analyst,25.0
