name,hq,data_filings,median_wage,naics,relevant_title,score
ADVANCE DIGITAL SYSTEMS INC.,"Fairfax, VA",1,122699,541511,Software Developer/Analyst,29.9
"Advanced Analytical Consulting Group, Inc.","Wayland, MA",1,87500,541720,Statistician/Economist Associate,22.5
Advanced Analytics LLC,"Chicago, IL",1,114000,541511,Bi/Etl Consultant,28.0
Advanced Assessment Systems Inc.,"New York, NY",1,115000,611710,Senior Solutions Center Analyst,28.2
Advanced Data Analytics Technology LLC,"Katy, TX",1,,541613,Oil And Gas Market Analyst,22.5
Advanced Distributor Products LLC,"Grenada, MS",1,58000,333415,Business Systems Analyst I,22.5
"Advanced International Freight, Inc.","Secaucus, NJ",1,91300,481212,Business Operations Research Analyst,22.8
Advanced Management Strategies Group,"Dumfries, VA",1,142000,54161,Operations Research System Analyst,34.3
"Advanced Manufacturing Group, LLC","Portsmouth, NH",1,64000,425120,Business Analyst,22.5
"Advanced Medical Strategies, LLC","Lynnfield, MA",1,75000,518210,Senior Data Analyst,22.5
"ADVANCED MONITORED CAREGIVING, INC.","New York, NY",1,113069,621999,Senior Business Intelligence Analyst,27.7
"ADVANCED PORTFOLIO MANAGEMENT, LLC","New York City, NY",1,275000,523920,Director Of Investment Research,47.5
"Advanced Roofing, Inc.","Fort Lauderdale, FL",1,,238160,Marketing Analyst & Coordinator,22.5
"ADVANCED TECHNOLOGY CONSULTING SERVICE, INC.","Jersey City, NJ",1,110248,541511,Business Analyst,27.1
"Advansys, Inc.","Herndon, VA",1,126000,541511,Oracle/Data Warehouse Developer,30.7
Advantage Capital Corporation,"New Orleans, LA",1,95000,523910,Senior Data Analyst,23.6
Advantage EA Inc.,"Ligonier, PA",1,,713940,Operations Management Analyst,22.5
"ADVANTECS GROUP, INC.","Edison, NJ",1,133120,541511,Big Data Engineer,32.3
"Advantix ScanSource, LLC","Greenville, SC",1,107000,517810,Programmer Analyst,26.4
Adven Technologies Inc,"Plano, TX",1,85467,541511,Data Analyst,22.5
AdVenture Media Digital Marketing LLC,"Woodmere, NY",1,83000,541810,Digital Marketing Analyst,22.5
"Advertising Analytics, LLC","Alexandria, VA",1,109907,541910,Senior Database Manager,27.0
